"","female","cg","sc","hsg","mw","so","we","ne","exp1","exp2","exp3","wage"
"1664059",0,1,0,0,0,0,0,1,5,0.25,0.125,11.2602941176471
"1664061",0,0,1,0,0,0,0,1,27.5,7.5625,20.796875,19.59375
"1664087",1,1,0,0,0,0,0,1,11,1.21,1.331,10.9928571428571
"1664105",1,1,0,0,0,0,0,1,7,0.49,0.343,8.18617021276595
"1664121",1,1,0,0,0,0,0,1,2,0.04,0.008,17.7333333333333
"1664124",1,0,1,0,0,0,0,1,22,4.84,10.648,19.59375
"1664137",0,0,1,0,0,0,0,1,20.5,4.2025,8.615125,13.9333333333333
"1664179",0,0,1,0,0,0,0,1,6,0.36,0.216,4.85018181818182
"1664193",1,1,0,0,0,0,0,1,3,0.09,0.027,7.125
"1664210",0,0,1,0,0,0,0,1,31,9.61,29.791,14.25
"1664254",0,0,1,0,0,0,0,1,27,7.29,19.683,10.6875
"1664276",1,0,1,0,0,0,0,1,6.5,0.4225,0.274625,2.4469696969697
"1664329",1,0,1,0,0,0,0,1,25,6.25,15.625,9.5475
"1664341",0,1,0,0,0,0,0,1,12,1.44,1.728,16.2857142857143
"1664342",1,1,0,0,0,0,0,1,6,0.36,0.216,14.9625
"1664343",0,1,0,0,0,0,0,1,6,0.36,0.216,9.975
"1664345",1,1,0,0,0,0,0,1,8,0.64,0.512,8.90625
"1664346",0,1,0,0,0,0,0,1,3,0.09,0.027,16.03125
"1664347",0,1,0,0,0,0,0,1,4,0.16,0.064,4.9875
"1664355",1,1,0,0,0,0,0,1,6,0.36,0.216,11.04375
"1664376",0,0,0,1,0,0,0,1,20,4,8,15.675
"1664382",1,0,0,1,0,0,0,1,11,1.21,1.331,5.14583333333333
"1664394",0,0,0,1,0,0,0,1,9,0.81,0.729,11.4
"1664395",0,0,1,0,0,0,0,1,5,0.25,0.125,12.54
"1664396",1,0,0,1,0,0,0,1,6,0.36,0.216,7.125
"1664403",1,0,0,1,0,0,0,1,25,6.25,15.625,8.90625
"1664404",0,1,0,0,0,0,0,1,19,3.61,6.859,34.2
"1664413",1,0,1,0,0,0,0,1,23.5,5.5225,12.977875,12.46875
"1664414",0,0,1,0,0,0,0,1,22.5,5.0625,11.390625,12.46875
"1664419",0,0,1,0,0,0,0,1,10,1,1,18.525
"1664431",0,0,0,1,0,0,0,1,14,1.96,2.744,14.25
"1664438",0,0,0,1,0,0,0,1,31,9.61,29.791,17.45625
"1664448",1,0,0,1,0,0,0,1,11,1.21,1.331,9.975
"1664453",0,0,0,1,0,0,0,1,11,1.21,1.331,14.25
"1664454",0,0,1,0,0,0,0,1,27.5,7.5625,20.796875,16.4666666666667
"1664455",0,0,1,0,0,0,0,1,25.5,6.5025,16.581375,7.125
"1664456",0,1,0,0,0,0,0,1,5,0.25,0.125,7.8375
"1664466",0,1,0,0,0,0,0,1,5,0.25,0.125,21.339375
"1664467",0,1,0,0,0,0,0,1,27,7.29,19.683,31.635
"1664484",1,1,0,0,0,0,0,1,6,0.36,0.216,9.77142857142857
"1664485",1,1,0,0,0,0,0,1,6,0.36,0.216,17.784
"1664499",1,1,0,0,0,0,0,1,2,0.04,0.008,11.863125
"1664504",1,1,0,0,0,0,0,1,17,2.89,4.913,17.1
"1664507",0,1,0,0,0,0,0,1,18,3.24,5.832,12.1125
"1664520",1,0,0,1,0,0,0,1,8,0.64,0.512,13.5375
"1664535",1,1,0,0,0,0,0,1,21,4.41,9.261,31.35
"1664536",1,1,0,0,0,0,0,1,22,4.84,10.648,37.05
"1664554",0,0,1,0,0,0,0,1,6.5,0.4225,0.274625,11.4
"1664560",0,0,1,0,0,0,0,1,5.5,0.3025,0.166375,19
"1664569",0,0,0,1,0,0,0,1,12,1.44,1.728,9.975
"1664570",1,0,0,1,0,0,0,1,16,2.56,4.096,15.31875
"1664578",1,0,1,0,0,0,0,1,24.5,6.0025,14.706125,17.1
"1664583",0,0,0,1,0,0,0,1,20,4,8,8.90625
"1664598",1,0,1,0,0,0,0,1,30,9,27,12.6214285714286
"1664608",0,0,0,1,0,0,0,1,17,2.89,4.913,14.1424528301887
"1664691",1,1,0,0,0,0,0,1,21,4.41,9.261,21.58875
"1664703",0,0,0,1,0,0,0,1,20,4,8,14.25
"1664726",0,1,0,0,0,0,0,1,27,7.29,19.683,7.8375
"1664731",0,0,0,1,0,0,0,1,7,0.49,0.343,12.6666666666667
"1664733",0,0,0,1,0,0,0,1,14,1.96,2.744,6.8875
"1664742",1,1,0,0,0,0,0,1,17,2.89,4.913,15.140625
"1664748",0,0,1,0,0,0,0,1,8,0.64,0.512,10.1785714285714
"1664756",0,0,0,1,0,0,0,1,10,1,1,5.49642857142857
"1664759",0,0,1,0,0,0,0,1,24.5,6.0025,14.706125,23.5125
"1664769",1,1,0,0,0,0,0,1,28,7.84,21.952,49.5102
"1664788",0,0,1,0,0,0,0,1,7.5,0.5625,0.421875,19.665
"1664800",0,0,1,0,0,0,0,1,11.5,1.3225,1.520875,11.04375
"1664801",1,1,0,0,0,0,0,1,2,0.04,0.008,11.04375
"1664807",0,0,0,1,0,0,0,1,10,1,1,12.825
"1664812",0,1,0,0,0,0,0,1,2,0.04,0.008,17.8125
"1664820",1,1,0,0,0,0,0,1,17,2.89,4.913,9.61875
"1664824",1,1,0,0,0,0,0,1,22,4.84,10.648,37.05
"1664825",0,1,0,0,0,0,0,1,3,0.09,0.027,20.3571428571429
"1664828",0,0,0,1,0,0,0,1,8,0.64,0.512,8.90625
"1664840",0,0,1,0,0,0,0,1,10.5,1.1025,1.157625,12.46875
"1664910",0,0,1,0,0,0,0,1,4,0.16,0.064,11.4
"1664912",1,1,0,0,0,0,0,1,4,0.16,0.064,12.825
"1664928",0,0,0,1,0,0,0,1,7,0.49,0.343,7.125
"1664931",0,0,0,1,0,0,0,1,8,0.64,0.512,5.34375
"1664958",0,1,0,0,0,0,0,1,2,0.04,0.008,8.19375
"1664959",1,1,0,0,0,0,0,1,4,0.16,0.064,14.25
"1664968",0,0,0,1,0,0,0,1,14,1.96,2.744,15.375
"1664969",1,1,0,0,0,0,0,1,7,0.49,0.343,15.8333333333333
"1665021",1,0,1,0,0,0,0,1,6.5,0.4225,0.274625,4.9875
"1665043",1,0,1,0,0,0,0,1,23,5.29,12.167,7.125
"1665044",0,1,0,0,0,0,0,1,5,0.25,0.125,18.88125
"1665045",0,0,0,1,0,0,0,1,33,10.89,35.937,10.33125
"1665046",0,1,0,0,0,0,0,1,23,5.29,12.167,12.825
"1665054",0,1,0,0,0,0,0,1,7,0.49,0.343,17.1
"1665055",0,1,0,0,0,0,0,1,2,0.04,0.008,14.60625
"1665072",0,0,0,1,0,0,0,1,14,1.96,2.744,8.55
"1665075",0,0,0,1,0,0,0,1,22,4.84,10.648,14.9625
"1665083",0,0,0,1,0,0,0,1,6,0.36,0.216,6.4125
"1665086",0,0,0,1,0,0,0,1,23,5.29,12.167,10.6875
"1665097",0,0,1,0,0,0,0,1,28.5,8.1225,23.149125,19.59375
"1665114",1,1,0,0,0,0,0,1,11,1.21,1.331,16.03125
"1665121",0,0,0,1,0,0,0,1,9,0.81,0.729,8.90625
"1665127",0,0,1,0,0,0,0,1,13.5,1.8225,2.460375,17.8125
"1665130",0,0,0,1,0,0,0,1,14,1.96,2.744,14.60625
"1665137",0,0,1,0,0,0,0,1,19,3.61,6.859,17.4166666666667
"1665167",1,1,0,0,0,0,0,1,7,0.49,0.343,25.3333333333333
"1665168",0,1,0,0,0,0,0,1,2,0.04,0.008,12.825
"1665179",0,0,0,1,0,0,0,1,9,0.81,0.729,8.55
"1665192",1,1,0,0,0,0,0,1,26,6.76,17.576,18.525
"1665201",0,0,0,1,0,0,0,1,24,5.76,13.824,13.5375
"1665203",1,0,1,0,0,0,0,1,4,0.16,0.064,7.32857142857143
"1665204",0,0,1,0,0,0,0,1,10.5,1.1025,1.157625,9.2625
"1665207",0,0,0,1,0,0,0,1,21,4.41,9.261,10.922625
"1665209",1,0,0,1,0,0,0,1,26,6.76,17.576,7.125
"1665215",0,0,0,1,0,0,0,1,29,8.41,24.389,11.75625
"1665218",1,0,0,1,0,0,0,1,11,1.21,1.331,8.95714285714286
"1665235",1,1,0,0,0,0,0,1,3,0.09,0.027,6.4125
"1665238",1,0,0,1,0,0,0,1,29,8.41,24.389,8.90625
"1665250",1,0,1,0,0,0,0,1,10.5,1.1025,1.157625,8.90625
"1665255",1,0,1,0,0,0,0,1,6.5,0.4225,0.274625,12.1772727272727
"1665256",0,0,1,0,0,0,0,1,6.5,0.4225,0.274625,18.88125
"1665257",0,1,0,0,0,0,0,1,21,4.41,9.261,21.375
"1665263",0,0,0,1,0,0,0,1,15,2.25,3.375,14.25
"1665265",0,0,1,0,0,0,0,1,33,10.89,35.937,19.59375
"1665266",1,1,0,0,0,0,0,1,22,4.84,10.648,16.9416666666667
"1665270",0,0,0,1,0,0,0,1,16,2.56,4.096,10.6875
"1665278",1,1,0,0,0,0,0,1,9,0.81,0.729,9.975
"1665305",1,1,0,0,0,0,0,1,2,0.04,0.008,7.94711538461538
"1665311",0,0,1,0,0,0,0,1,16,2.56,4.096,9.75
"1665317",0,1,0,0,0,0,0,1,6,0.36,0.216,23.0192307692308
"1665321",1,0,0,1,0,0,0,1,28,7.84,21.952,7.125
"1665345",0,1,0,0,0,0,0,1,8,0.64,0.512,24.9375
"1665355",0,1,0,0,0,0,0,1,23,5.29,12.167,26.71875
"1665364",1,0,1,0,0,0,0,1,27,7.29,19.683,16.03125
"1665366",1,0,1,0,0,0,0,1,17,2.89,4.913,16.2857142857143
"1665371",0,0,0,1,0,0,0,1,27,7.29,19.683,11.2396875
"1665372",1,1,0,0,0,0,0,1,22,4.84,10.648,23.15625
"1665377",1,0,0,1,0,0,0,1,9,0.81,0.729,9.61875
"1665379",0,0,1,0,0,0,0,1,5.5,0.3025,0.166375,7.125
"1665385",1,0,0,1,0,0,0,1,24,5.76,13.824,19.38
"1665402",1,1,0,0,0,0,0,1,17,2.89,4.913,46.3125
"1665442",0,0,1,0,0,0,0,1,7.5,0.5625,0.421875,14.25
"1665455",0,1,0,0,0,0,0,1,10,1,1,21.375
"1665487",1,1,0,0,0,0,0,1,6,0.36,0.216,15.6071428571429
"1665492",0,0,0,1,0,0,0,1,11,1.21,1.331,7.417125
"1665493",0,0,1,0,0,0,0,1,4.5,0.2025,0.091125,11.115
"1665506",1,0,0,1,0,0,0,1,8,0.64,0.512,7.125
"1665519",1,1,0,0,0,0,0,1,3,0.09,0.027,10.33125
"1665520",0,1,0,0,0,0,0,1,3,0.09,0.027,9.61875
"1665550",0,0,1,0,0,0,0,1,16,2.56,4.096,17.5384615384615
"1665570",1,1,0,0,0,0,0,1,2,0.04,0.008,10.6875
"1665572",1,0,1,0,0,0,0,1,32.5,10.5625,34.328125,19.2375
"1665593",0,1,0,0,0,0,0,1,4,0.16,0.064,28.5
"1665602",0,0,0,1,0,0,0,1,8,0.64,0.512,16.03125
"1665618",0,0,1,0,0,0,0,1,11,1.21,1.331,22.44375
"1665707",0,1,0,0,0,0,0,1,14,1.96,2.744,31.1959459459459
"1665719",0,0,1,0,0,0,0,1,5,0.25,0.125,5.82621428571428
"1665721",0,0,0,1,0,0,0,1,24,5.76,13.824,14.25
"1665722",1,0,1,0,0,0,0,1,5.5,0.3025,0.166375,9.1143
"1665723",0,0,0,1,0,0,0,1,8,0.64,0.512,8.5215
"1665725",1,0,1,0,0,0,0,1,4.5,0.2025,0.091125,9.1143
"1665726",1,0,1,0,0,0,0,1,8.5,0.7225,0.614125,14.60625
"1665747",0,0,1,0,0,0,0,1,4,0.16,0.064,11.04375
"1665751",0,1,0,0,0,0,0,1,11,1.21,1.331,28.5
"1665757",1,1,0,0,0,0,0,1,6,0.36,0.216,8.55
"1665760",0,0,1,0,0,0,0,1,10.5,1.1025,1.157625,9.07725
"1665766",1,0,0,1,0,0,0,1,6,0.36,0.216,6.76875
"1665782",0,0,0,1,0,0,0,1,26,6.76,17.576,14.25
"1665785",1,0,1,0,0,0,0,1,6,0.36,0.216,23.15625
"1665786",0,1,0,0,0,0,0,1,25,6.25,15.625,89.0625
"1665788",0,1,0,0,0,0,0,1,14,1.96,2.744,12.2142857142857
"1665789",0,0,1,0,0,0,0,1,13.5,1.8225,2.460375,16.03125
"1665793",1,0,1,0,0,0,0,1,4.5,0.2025,0.091125,9.2625
"1665811",0,0,0,1,0,0,0,1,7,0.49,0.343,15.675
"1665812",0,0,1,0,0,0,0,1,6,0.36,0.216,15.31875
"1665813",1,0,1,0,0,0,0,1,4.5,0.2025,0.091125,14.9625
"1665818",0,0,0,1,0,0,0,1,25,6.25,15.625,9.975
"1665819",0,0,0,1,0,0,0,1,24,5.76,13.824,10.6875
"1665833",0,0,1,0,0,0,0,1,7,0.49,0.343,10.5857142857143
"1665837",1,0,0,1,0,0,0,1,21,4.41,9.261,20.30625
"1665846",1,0,0,1,0,0,0,1,21,4.41,9.261,15.31875
"1665884",1,1,0,0,0,0,0,1,30,9,27,14.025
"1665941",0,1,0,0,0,0,0,1,26,6.76,17.576,9.975
"1665952",1,0,0,1,0,0,0,1,15,2.25,3.375,10.6875
"1665953",0,0,1,0,0,0,0,1,14.5,2.1025,3.048625,28.1686046511628
"1665968",1,0,0,1,0,0,0,1,15,2.25,3.375,15.31875
"1665976",0,0,0,1,0,0,0,1,6,0.36,0.216,8.90625
"1665985",1,0,1,0,0,0,0,1,28,7.84,21.952,18.525
"1665993",0,0,0,1,0,0,0,1,21,4.41,9.261,11.4
"1666007",1,1,0,0,0,0,0,1,18,3.24,5.832,26.71875
"1666010",1,1,0,0,0,0,0,1,24,5.76,13.824,17.25
"1666033",0,0,1,0,0,0,0,1,7,0.49,0.343,13.68
"1666046",1,1,0,0,0,0,0,1,2,0.04,0.008,11.875
"1666102",0,0,0,1,0,0,0,1,6,0.36,0.216,17.8125
"1666115",0,0,0,1,0,0,0,1,7,0.49,0.343,9.20791153846154
"1666116",1,1,0,0,0,0,0,1,3,0.09,0.027,4.38461538461539
"1666127",1,0,0,1,0,0,0,1,30,9,27,14.25
"1666130",0,0,0,1,0,0,0,1,11,1.21,1.331,12.4961538461538
"1666133",0,0,0,1,0,0,0,1,19,3.61,6.859,2.64642857142857
"1666181",0,0,0,1,0,0,0,1,7,0.49,0.343,11.115
"1666188",0,0,0,1,0,0,0,1,34,11.56,39.304,10.374
"1666256",0,0,0,1,0,0,0,1,6,0.36,0.216,9.61875
"1666261",1,1,0,0,0,0,0,1,5,0.25,0.125,9.975
"1666262",0,0,1,0,0,0,0,1,11.5,1.3225,1.520875,6.76875
"1666266",1,0,1,0,0,0,0,1,18.5,3.4225,6.331625,0.5625
"1666275",0,0,0,1,0,0,0,1,13,1.69,2.197,13.1733333333333
"1666277",0,1,0,0,0,0,0,1,31,9.61,29.791,16.03125
"1666302",0,0,0,1,0,0,0,1,32,10.24,32.768,15.8333333333333
"1666306",1,1,0,0,0,0,0,1,4,0.16,0.064,15.2128378378378
"1666307",0,0,1,0,0,0,0,1,30.5,9.3025,28.372625,12.2794285714286
"1666314",0,1,0,0,0,0,0,1,9,0.81,0.729,8.90625
"1666330",1,0,0,1,0,0,0,1,29,8.41,24.389,6.76875
"1666331",0,0,1,0,0,0,0,1,4.5,0.2025,0.091125,9.2625
"1666334",0,1,0,0,0,0,0,1,13,1.69,2.197,12.6666666666667
"1666348",1,0,1,0,0,0,0,1,17,2.89,4.913,8.90625
"1666351",1,0,1,0,0,0,0,1,22.5,5.0625,11.390625,14.25
"1666388",0,0,0,1,0,0,0,1,6,0.36,0.216,6.99545454545455
"1666412",1,0,1,0,0,0,0,1,17,2.89,4.913,15.8333333333333
"1666424",0,0,0,1,0,0,0,1,22,4.84,10.648,7.8375
"1666425",1,0,1,0,0,0,0,1,19.5,3.8025,7.414875,16.03125
"1666434",1,0,1,0,0,0,0,1,18,3.24,5.832,17.8125
"1666456",1,1,0,0,0,0,0,1,6,0.36,0.216,17.8125
"1666462",0,0,0,1,0,0,0,1,10,1,1,16.03125
"1666467",1,0,1,0,0,0,0,1,26.5,7.0225,18.609625,0.1482
"1666471",1,0,1,0,0,0,0,1,10,1,1,20.5833333333333
"1666473",1,0,0,1,0,0,0,1,15,2.25,3.375,12.1125
"1666481",1,1,0,0,0,0,0,1,5,0.25,0.125,7.48125
"1666517",0,1,0,0,0,0,0,1,14,1.96,2.744,32.6166666666667
"1666525",1,0,0,1,0,0,0,1,6,0.36,0.216,12.46875
"1666527",0,0,0,1,0,0,0,1,8,0.64,0.512,14.725
"1666529",1,1,0,0,0,0,0,1,2,0.04,0.008,10.6875
"1666532",1,0,1,0,0,0,0,1,11.5,1.3225,1.520875,13.5375
"1666536",0,0,0,1,0,0,0,1,21,4.41,9.261,14.25
"1666570",1,0,1,0,0,0,0,1,25,6.25,15.625,12.825
"1666575",0,0,1,0,0,0,0,1,7,0.49,0.343,12.825
"1666613",1,0,0,1,0,0,0,1,15,2.25,3.375,13.8428571428571
"1666614",1,0,0,1,0,0,0,1,10,1,1,9.14818333333334
"1666646",1,0,1,0,0,0,0,1,17,2.89,4.913,7.48125
"1666653",0,0,0,1,0,0,0,1,13,1.69,2.197,10.73709
"1666655",0,0,0,1,0,0,0,1,16,2.56,4.096,6.76875
"1666673",0,0,1,0,0,0,0,1,4.5,0.2025,0.091125,11.115
"1666677",1,0,1,0,0,0,0,1,7,0.49,0.343,22.1666666666667
"1666699",0,0,1,0,0,0,0,1,22.5,5.0625,11.390625,15.5625
"1666707",1,1,0,0,0,0,0,1,3,0.09,0.027,9.2625
"1666713",0,0,1,0,0,0,0,1,21.5,4.6225,9.938375,10.1785714285714
"1666727",1,1,0,0,0,0,0,1,5,0.25,0.125,6.51428571428572
"1666738",0,1,0,0,0,0,0,1,14,1.96,2.744,14.9625
"1666780",1,0,1,0,0,0,0,1,11.5,1.3225,1.520875,11.4
"1666781",0,0,0,1,0,0,0,1,14,1.96,2.744,12.1125
"1666797",0,0,0,1,0,0,0,1,20,4,8,6.65
"1666800",1,0,1,0,0,0,0,1,24,5.76,13.824,9.975
"1666805",0,0,1,0,0,0,0,1,5.5,0.3025,0.166375,8.90625
"1666814",1,1,0,0,0,0,0,1,28,7.84,21.952,26.3625
"1666823",1,1,0,0,0,0,0,1,4,0.16,0.064,12.825
"1666829",0,1,0,0,0,0,0,1,6,0.36,0.216,21.375
"1666830",0,0,1,0,0,0,0,1,14,1.96,2.744,8.86666666666667
"1666838",0,1,0,0,0,0,0,1,5,0.25,0.125,24.4466666666667
"1666841",0,0,0,1,0,0,0,1,18,3.24,5.832,16.03125
"1666842",1,0,1,0,0,0,0,1,17.5,3.0625,5.359375,24.9375
"1666862",0,1,0,0,0,0,0,1,4,0.16,0.064,13.5375
"1666863",1,1,0,0,0,0,0,1,2,0.04,0.008,12.825
"1666867",0,1,0,0,0,0,0,1,2,0.04,0.008,14.25
"1666868",0,0,1,0,0,0,0,1,7.5,0.5625,0.421875,4.275
"1666869",0,1,0,0,0,0,0,1,3,0.09,0.027,9.975
"1666880",0,0,0,1,0,0,0,1,35,12.25,42.875,12.35
"1666883",0,0,1,0,0,0,0,1,5.5,0.3025,0.166375,12.7132352941176
"1666887",1,1,0,0,0,0,0,1,3,0.09,0.027,9.2625
"1666896",0,0,0,1,0,0,0,1,24,5.76,13.824,13.4017857142857
"1666897",1,0,1,0,0,0,0,1,20,4,8,13.2321428571429
"1666909",0,1,0,0,0,0,0,1,10,1,1,12.46875
"1666910",0,0,0,1,0,0,0,1,12,1.44,1.728,7.125
"1666911",1,1,0,0,0,0,0,1,10,1,1,10.6875
"1666912",0,0,1,0,0,0,0,1,11.5,1.3225,1.520875,10.6875
"1666913",1,1,0,0,0,0,0,1,9,0.81,0.729,10.6875
"1666914",1,0,0,1,0,0,0,1,6,0.36,0.216,5.8125
"1666926",0,0,1,0,0,0,0,1,20,4,8,11.5357142857143
"1666932",0,0,1,0,0,0,0,1,27,7.29,19.683,14.25
"1666936",0,0,1,0,0,0,0,1,6.5,0.4225,0.274625,12.483
"1666937",1,1,0,0,0,0,0,1,2,0.04,0.008,12.46875
"1666938",0,0,1,0,0,0,0,1,9,0.81,0.729,8.90625
"1666939",1,1,0,0,0,0,0,1,2,0.04,0.008,11.0833333333333
"1666940",0,1,0,0,0,0,0,1,18,3.24,5.832,16.03125
"1666942",0,1,0,0,0,0,0,1,11,1.21,1.331,34.9125
"1666963",1,1,0,0,0,0,0,1,2,0.04,0.008,15.31875
"1666965",0,1,0,0,0,0,0,1,18,3.24,5.832,33.84375
"1666967",1,1,0,0,0,0,0,1,4,0.16,0.064,12.4363636363636
"1666978",0,1,0,0,0,0,0,1,3,0.09,0.027,274.038461538462
"1666980",0,1,0,0,0,0,0,1,2,0.04,0.008,19.4318181818182
"1666982",0,1,0,0,0,0,0,1,13,1.69,2.197,22.8
"1666992",0,1,0,0,0,0,0,1,8,0.64,0.512,23.1166666666667
"1666994",0,0,1,0,0,0,0,1,26.5,7.0225,18.609625,19.59375
"1667005",0,0,0,1,0,0,0,1,11,1.21,1.331,7.8375
"1667051",0,0,0,1,0,0,0,1,7,0.49,0.343,13.89375
"1667066",1,1,0,0,0,0,0,1,18,3.24,5.832,8.835
"1667067",1,0,1,0,0,0,0,1,7,0.49,0.343,21.375
"1667070",0,0,1,0,0,0,0,1,15.5,2.4025,3.723875,17.8125
"1667072",0,1,0,0,0,0,0,1,11,1.21,1.331,8.19375
"1667093",1,0,0,1,0,0,0,1,23,5.29,12.167,14.25
"1667103",1,0,1,0,0,0,0,1,6.5,0.4225,0.274625,11.75625
"1667104",1,0,1,0,0,0,0,1,18.5,3.4225,6.331625,17.8125
"1667109",1,0,0,1,0,0,0,1,9,0.81,0.729,6.35769230769231
"1667115",0,0,1,0,0,0,0,1,25,6.25,15.625,9.69
"1667124",0,0,0,1,0,0,0,1,25,6.25,15.625,8.14285714285714
"1667134",0,0,0,1,0,0,0,1,24,5.76,13.824,14.1645
"1667145",1,0,0,1,0,0,0,1,19,3.61,6.859,10.6875
"1667146",0,0,0,1,0,0,0,1,28,7.84,21.952,10.9393939393939
"1667151",0,0,1,0,0,0,0,1,26.5,7.0225,18.609625,16.3875
"1667152",1,0,1,0,0,0,0,1,21.5,4.6225,9.938375,14.25
"1667230",1,1,0,0,0,0,0,1,3,0.09,0.027,11.04375
"1667247",1,1,0,0,0,0,0,1,28,7.84,21.952,14.25
"1667269",0,1,0,0,0,0,0,1,28,7.84,21.952,24.8546511627907
"1667294",1,0,0,1,0,0,0,1,11,1.21,1.331,4.75
"1667295",1,0,1,0,0,0,0,1,5.5,0.3025,0.166375,11.4
"1667328",0,1,0,0,0,0,0,1,19,3.61,6.859,14.25057
"1667333",1,1,0,0,0,0,0,1,2,0.04,0.008,32.775
"1667340",1,1,0,0,0,0,0,1,2,0.04,0.008,14.25
"1667343",0,1,0,0,0,0,0,1,2,0.04,0.008,23.86875
"1667350",0,0,0,1,0,0,0,1,18,3.24,5.832,16.03125
"1667365",1,0,1,0,0,0,0,1,19.5,3.8025,7.414875,7.20195
"1667373",1,0,1,0,0,0,0,1,4.5,0.2025,0.091125,8.55
"1667375",0,1,0,0,0,0,0,1,4,0.16,0.064,17.8125
"1667381",1,0,1,0,0,0,0,1,9,0.81,0.729,10.125
"1667403",0,0,1,0,0,0,0,1,25.5,6.5025,16.581375,15.675
"1667417",0,0,1,0,0,0,0,1,14.5,2.1025,3.048625,28.785
"1667418",1,0,1,0,0,0,0,1,11.5,1.3225,1.520875,12.2142857142857
"1667421",0,1,0,0,0,0,0,1,16,2.56,4.096,33.8833333333333
"1667429",0,1,0,0,0,0,0,1,19,3.61,6.859,57
"1667430",0,1,0,0,0,0,0,1,2,0.04,0.008,10.1333333333333
"1667435",0,0,0,1,0,0,0,1,32,10.24,32.768,16.03125
"1667436",0,1,0,0,0,0,0,1,2,0.04,0.008,3.0445125
"1667440",0,1,0,0,0,0,0,1,8,0.64,0.512,18.4858125
"1667441",1,1,0,0,0,0,0,1,7,0.49,0.343,27.14874375
"1667445",0,1,0,0,0,0,0,1,20,4,8,57
"1667479",0,1,0,0,0,0,0,1,3,0.09,0.027,10.6875
"1667481",1,1,0,0,0,0,0,1,3,0.09,0.027,14.25
"1667482",1,1,0,0,0,0,0,1,3,0.09,0.027,12.2142857142857
"1667483",0,1,0,0,0,0,0,1,2,0.04,0.008,9.61875
"1667491",1,1,0,0,0,0,0,1,8,0.64,0.512,25.65
"1667492",0,1,0,0,0,0,0,1,6,0.36,0.216,16.74375
"1667549",1,0,0,1,0,0,0,1,30,9,27,23.15625
"1667568",0,1,0,0,0,0,0,1,7,0.49,0.343,23.15625
"1667583",0,0,0,1,0,0,0,1,21,4.41,9.261,17.8125
"1667586",0,0,1,0,0,0,0,1,12.5,1.5625,1.953125,10.6875
